name,tailpipe_co2
Kia Niro Sport Wagon Other (2021-2025),0
Mercedes-Benz EQA Class EQA250 Wagon Auto (2021-2025),0
Porsche Taycan Coupe (2021-2025),0
Mercedes-Benz EQA Class EQA250 Wagon Auto (2021-2025),0
Audi e-tron S e-tron S quattro 20/21/22 Inch Wheel SUV (2021-2024),0
Nissan ZE1 LEAF e+ Hatch (2021-2025),0
Audi e-tron 55 20" Wheel SUV (2020-2021),0
Audi e-tron 55 21" Wheel SUV (2020-2021),0
Audi e-tron 50 SUV (2020-2025),0
Audi e-tron Sportback 55 20" Wheel SUV (2020-2021),0
Audi e-tron Sportback 55 21" Wheel SUV (2020-2021),0
Audi e-tron Sportback 50 SUV (2020-2025),0
Mercedes-Benz EQC Class EQC400 4MATIC Wagon Auto (2020-2021),0
Mercedes-Benz EQC Class EQC400 4M Elec. Art Line Wagon Auto (2020-2022),0
Porsche Taycan 4S Coupe Other (2020),0
Porsche Taycan 4S Performance Battery + Coupe (2020-2025),0
Porsche Taycan Turbo Coupe (2020-2025),0
Porsche Taycan Turbo S Coupe (2020-2025),0
Porsche Taycan 4S Coupe (2020-2025),0
MG ZS EV SUV (2020-2025),0
Tesla Model 3 StandardRange (E1RB) Sedan (2020-2025),0
Tesla Model 3 Performance (E3DP) Sedan (2020-2025),0
Tesla Model S LongRange (SA3EB) Hatch (2020-2025),0
Tesla Model S SA3EP Performance Hatch (2020-2025),0
Tesla Model X Long Range (XA3EB) SUV (2020-2025),0
Tesla Model X Performance (XA3EP) Hatch (2020-2025),0
Tesla Model 3 LongRange (E3DB) Sedan (2020-2025),0
Tesla Model 3 StandardRange (E6RB) Sedan (2020-2025),0
Tesla Model 3 LongRange (E5DB) Sedan (2020-2025),0
MINI Cooper SE Hardtop Hatch Auto (2020-2025),0
BMW i3 i3 BEV 120Ah Sedan Other (2019-2025),0
BMW i3 i3s BEV 120Ah Sedan Other (2019-2025),0
Hyundai Kona EV Wagon (2019-2021),0
Tesla Model 3 Performance (E3DP) Sedan (2019-2020),0
Tesla Model 3 Long range base (E3DB) Sedan (2019-2020),0
Mercedes-Benz EQC Class EQC400 4MATIC Wagon Auto (2019-2020),0
Tesla Model S SA3EB Long Range Hatch (2019-2020),0
